"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1443","202012161000","7.7","1","0"
"TT_TU_MN009","1443","202012161100","8.9","1","0"
"TT_TU_MN009","1443","202012161200","9.3","1","0"
"TT_TU_MN009","1443","202012161300","9.5","1","0"
"TT_TU_MN009","1443","202012161400","10.3","1","0"
"TT_TU_MN009","1443","202012161500","8.8","1","0"
"TT_TU_MN009","1443","202012161600","7.2","1","0"
"TT_TU_MN009","1443","202012161700","5.7","1","0"
"TT_TU_MN009","1443","202012161800","5.4","1","0"
"TT_TU_MN009","1443","202012161900","5.6","1","0"
"TT_TU_MN009","1443","202012162000","5.4","1","0"
"TT_TU_MN009","1443","202012162100","3.7","1","0"
"TT_TU_MN009","1443","202012162200","3","1","0"
"TT_TU_MN009","1443","202012162300","4.3","1","0"
"TT_TU_MN009","1443","202012170000","2.9","1","0"
"TT_TU_MN009","1443","202012170100","2.8","1","0"
"TT_TU_MN009","1443","202012170200","1.6","1","0"
"TT_TU_MN009","1443","202012170300","1.6","1","0"
"TT_TU_MN009","1443","202012170400","2.5","1","0"
"TT_TU_MN009","1443","202012170500","3.6","1","0"
"TT_TU_MN009","1443","202012170600","6.7","1","0"
"TT_TU_MN009","1443","202012170700","10.2","1","0"
"TT_TU_MN009","1443","202012170800","11.1","1","0"
"TT_TU_MN009","1443","202012170900","11.6","1","0"
"TT_TU_MN009","1443","202012171000","12.1","1","0"
"TT_TU_MN009","1443","202012171100","12.2","1","0"
"TT_TU_MN009","1443","202012171200","12","1","0"
"TT_TU_MN009","1443","202012171300","11.5","1","0"
"TT_TU_MN009","1443","202012171400","10.8","1","0"
"TT_TU_MN009","1443","202012171500","10.5","1","0"
"TT_TU_MN009","1443","202012171600","9.9","1","0"
"TT_TU_MN009","1443","202012171700","9.1","1","0"
"TT_TU_MN009","1443","202012171800","8.7","1","0"
"TT_TU_MN009","1443","202012171900","7.5","1","0"
"TT_TU_MN009","1443","202012172000","6.9","1","0"
"TT_TU_MN009","1443","202012172100","7.1","1","0"
"TT_TU_MN009","1443","202012172200","6.5","1","0"
"TT_TU_MN009","1443","202012172300","6.4","1","0"
"TT_TU_MN009","1443","202012180000","5.4","1","0"
"TT_TU_MN009","1443","202012180100","5.5","1","0"
"TT_TU_MN009","1443","202012180200","5.4","1","0"
"TT_TU_MN009","1443","202012180300","5","1","0"
"TT_TU_MN009","1443","202012180400","5.8","1","0"
"TT_TU_MN009","1443","202012180500","5.2","1","0"
"TT_TU_MN009","1443","202012180600","5","1","0"
"TT_TU_MN009","1443","202012180700","3.5","1","0"
"TT_TU_MN009","1443","202012180800","3.6","1","0"
"TT_TU_MN009","1443","202012180900","5.1","1","0"
"TT_TU_MN009","1443","202012181000","6.5","1","0"
"TT_TU_MN009","1443","202012181100","8.4","1","0"
"TT_TU_MN009","1443","202012181200","9.4","1","0"
"TT_TU_MN009","1443","202012181300","10.2","1","0"
"TT_TU_MN009","1443","202012181400","10.4","1","0"
"TT_TU_MN009","1443","202012181500","9.4","1","0"
"TT_TU_MN009","1443","202012181600","6.8","1","0"
"TT_TU_MN009","1443","202012181700","8.8","1","0"
"TT_TU_MN009","1443","202012181800","7.6","1","0"
"TT_TU_MN009","1443","202012181900","7.3","1","0"
"TT_TU_MN009","1443","202012182000","7","1","0"
"TT_TU_MN009","1443","202012182100","6.4","1","0"
"TT_TU_MN009","1443","202012182200","4.5","1","0"
"TT_TU_MN009","1443","202012182300","4.9","1","0"
"TT_TU_MN009","1443","202012190000","4.8","1","0"
"TT_TU_MN009","1443","202012190100","5.6","1","0"
"TT_TU_MN009","1443","202012190200","4.8","1","0"
"TT_TU_MN009","1443","202012190300","4.6","1","0"
"TT_TU_MN009","1443","202012190400","4.4","1","0"
"TT_TU_MN009","1443","202012190500","1.8","1","0"
"TT_TU_MN009","1443","202012190600","2.3","1","0"
"TT_TU_MN009","1443","202012190700","2.6","1","0"
"TT_TU_MN009","1443","202012190800","2.2","1","0"
"TT_TU_MN009","1443","202012190900","3.3","1","0"
"TT_TU_MN009","1443","202012191000","5.1","1","0"
"TT_TU_MN009","1443","202012191100","6.4","1","0"
"TT_TU_MN009","1443","202012191200","7.2","1","0"
"TT_TU_MN009","1443","202012191300","7.9","1","0"
"TT_TU_MN009","1443","202012191400","7.5","1","0"
"TT_TU_MN009","1443","202012191500","7.4","1","0"
"TT_TU_MN009","1443","202012191600","7.1","1","0"
"TT_TU_MN009","1443","202012191700","7","1","0"
"TT_TU_MN009","1443","202012191800","6.9","1","0"
"TT_TU_MN009","1443","202012191900","6.5","1","0"
"TT_TU_MN009","1443","202012192000","7","1","0"
"TT_TU_MN009","1443","202012192100","6.9","1","0"
"TT_TU_MN009","1443","202012192200","6.8","1","0"
"TT_TU_MN009","1443","202012192300","5.9","1","0"
"TT_TU_MN009","1443","202012200000","6.2","1","0"
"TT_TU_MN009","1443","202012200100","6.3","1","0"
"TT_TU_MN009","1443","202012200200","5.8","1","0"
"TT_TU_MN009","1443","202012200300","6.8","1","0"
"TT_TU_MN009","1443","202012200400","6.2","1","0"
"TT_TU_MN009","1443","202012200500","6.2","1","0"
"TT_TU_MN009","1443","202012200600","6","1","0"
"TT_TU_MN009","1443","202012200700","8.4","1","0"
"TT_TU_MN009","1443","202012200800","10","1","0"
